mean_lon,mean_lat,year,month,day
176.619432886108,32.6787283689241,2005,5,4
175.860895212552,35.057734124614,2005,6,23
180.592617770427,40.4057593651645,2005,8,12
183.510212411605,41.6848032419466,2005,10,1
186.999746586372,37.3662285175569,2005,11,20
193.315150592714,32.1379277609952,2006,1,9
199.01578005525,32.1112577913518,2006,2,28
196.367856222399,34.9122377945573,2006,4,19
194.311561551928,34.6966077152962,2006,6,8
192.85445935735,37.0917501942058,2006,7,28
194.078757811627,41.7693290372383,2006,9,16
192.044436165313,38.2279593047231,2006,11,5
191.760026290605,34.7385780752043,2006,12,25
195.063134981283,31.7396435280445,2007,2,13
199.306553405532,34.3432418597437,2007,4,4
205.605040455239,35.1277116865649,2007,5,24
210.280467921659,38.460826483342,2007,7,13
215.722452964025,39.3374947731784,2007,9,1
223.007301112593,35.8679284198372,2007,10,21
225.638647308816,30.1854023141461,2007,12,10
232.406424355302,28.328588352337,2008,1,29
239.552975360004,25.9810780813157,2008,3,19
245.871574770029,24.8366188324699,2008,5,8
248.571044756,23.7241735345355,2008,6,27
245.7579071789,26.7817714626367,2008,8,16
