"","Lon","Lat","Matchup_Lon_Lower","Matchup_Lon_Upper","Matchup_Lat_Lower","Matchup_Lat_Upper","Chlor_a"
"73",200.4125,16.1625,200.3125,200.5125,16.0625,200.5125,0.0612519706288973
"74",200.25,16.125,200.15,200.35,16.025,200.35,0.0591267282143235
"75",200.065,16.07,199.965,200.165,15.97,200.165,0.0571856836477915
"76",200.24375,15.95,200.14375,200.34375,15.85,200.34375,0.0580953343047036
"77",200.483333333333,15.8833333333333,200.383333333333,200.583333333333,15.7833333333333,200.583333333333,0.0593756698071957
"78",199.955,16.225,199.855,200.055,16.125,200.055,0.0578080897943841
"79",199.925,16.20625,199.825,200.025,16.10625,200.025,0.0615560205446349
"80",199.675,16.3,199.575,199.775,16.2,199.775,0.0648834038939741
"81",199.41,16.3,199.31,199.51,16.2,199.51,0.0624655516197284
"82",198.908333333333,16.4333333333333,198.808333333333,199.008333333333,16.3333333333333,199.008333333333,0.057092759033872
"83",198.34375,16.38125,198.24375,198.44375,16.28125,198.44375,0.0600075618260437
"84",198.491666666667,16.3708333333333,198.391666666667,198.591666666667,16.2708333333333,198.591666666667,0.0588984702610307
"85",198.52,16.435,198.42,198.62,16.335,198.62,0.0593731200695038
"86",198.265,16.6,198.165,198.365,16.5,198.365,0.060156127024028
"87",197.905,16.86,197.805,198.005,16.76,198.005,0.0576888869206111
"88",197.695,17.14,197.595,197.795,17.04,197.795,0.0523095603825317
"89",198.185,17.08,198.085,198.285,16.98,198.285,0.0555808299531539
"90",198.1125,17.00625,198.0125,198.2125,16.90625,198.2125,0.0565225850376818
"91",197.716666666667,16.9208333333333,197.616666666667,197.816666666667,16.8208333333333,197.816666666667,0.0571526524921258
"92",197.3625,16.775,197.2625,197.4625,16.675,197.4625,0.055661395440499
"93",197.0125,16.6125,196.9125,197.1125,16.5125,197.1125,0.055611822133263
"94",196.645,16.51,196.545,196.745,16.41,196.745,0.0573537219315767
"95",196.865,16.455,196.765,196.965,16.355,196.965,0.0573264028256138
"96",197.76,16.44,197.66,197.86,16.34,197.86,0.063234777127703
"97",197.825,16.6,197.725,197.925,16.5,197.925,0.0624939563373725
"98",197.38,16.43,197.28,197.48,16.33,197.48,0.0597258500961794
"99",197.84375,16.33125,197.74375,197.94375,16.23125,197.94375,0.0624747043475509
"100",198.15,16.305,198.05,198.25,16.205,198.25,0.0597085942824682
"101",198.505,16.19,198.405,198.605,16.09,198.605,0.0581229843199253
"102",198.8875,16.075,198.7875,198.9875,15.975,198.9875,0.0569134869923194
"103",198.715,15.995,198.615,198.815,15.895,198.815,0.0568808835620681
"104",198.391666666667,15.8375,198.291666666667,198.491666666667,15.7375,198.491666666667,0.0560629080153174
"105",197.855,15.535,197.755,197.955,15.435,197.955,0.0596387756367524
"106",197.055,15.32,196.955,197.155,15.22,197.155,0.0568405495335658
"107",196.23,15.065,196.13,196.33,14.965,196.33,0.0526748313009739
"108",195.505,14.805,195.405,195.605,14.705,195.605,0.0512283337819907
"109",194.905,14.45,194.805,195.005,14.35,195.005,0.0478523809255825
"110",194.96,14.045,194.86,195.06,13.945,195.06,0.0543275790082084
"111",194.94375,13.65,194.84375,195.04375,13.55,195.04375,0.0495065906395515
"112",195.070833333333,13.3,194.970833333333,195.170833333333,13.2,195.170833333333,0.0460196590671937
"113",195.38125,12.81875,195.28125,195.48125,12.71875,195.48125,0.0514932392785947
"114",195.458333333333,12.5041666666667,195.358333333333,195.558333333333,12.4041666666667,195.558333333333,0.0546462736609909
"115",195.315,12.305,195.215,195.415,12.205,195.415,0.0553426783531904
"116",195.05,12.3,194.95,195.15,12.2,195.15,0.0545369003795915
"117",195.06875,12.1,194.96875,195.16875,12,195.16875,0.0550424834299419
"118",195.145833333333,11.8,195.045833333333,195.245833333333,11.7,195.245833333333,0.0574576692034801
