"","Lon","Lat","Matchup_Lon_Lower","Matchup_Lon_Upper","Matchup_Lat_Lower","Matchup_Lat_Upper","Chlor_a"
"1",176.619432886108,32.6787283689241,176.519432886108,176.719432886108,32.5787283689241,176.719432886108,0.267797651804156
"2",175.860895212552,35.057734124614,175.760895212552,175.960895212552,34.957734124614,175.960895212552,0.120731220270197
"3",180.592617770427,40.4057593651645,180.492617770427,180.692617770427,40.3057593651645,180.692617770427,0.307779242181116
"4",183.510212411605,41.6848032419466,183.410212411605,183.610212411605,41.5848032419466,183.610212411605,0.31780367868918
"5",186.999746586372,37.3662285175569,186.899746586372,187.099746586372,37.2662285175569,187.099746586372,0.288848294152154
"6",193.315150592714,32.1379277609952,193.215150592714,193.415150592714,32.0379277609952,193.415150592714,0.361463526884715
"7",199.01578005525,32.1112577913518,198.91578005525,199.11578005525,32.0112577913518,199.11578005525,0.229238820986615
"8",196.367856222399,34.9122377945573,196.267856222399,196.467856222399,34.8122377945573,196.467856222399,0.116440711749925
"9",194.311561551928,34.6966077152962,194.211561551928,194.411561551928,34.5966077152962,194.411561551928,0.0926890440285206
"10",192.85445935735,37.0917501942058,192.75445935735,192.95445935735,36.9917501942058,192.95445935735,0.055366505185763
"11",194.078757811627,41.7693290372383,193.978757811627,194.178757811627,41.6693290372383,194.178757811627,0.184479133039713
"12",192.044436165313,38.2279593047231,191.944436165313,192.144436165313,38.1279593047231,192.144436165313,0.227653850118319
"13",191.760026290605,34.7385780752043,191.660026290605,191.860026290605,34.6385780752043,191.860026290605,0.238695528358221
"14",195.063134981283,31.7396435280445,194.963134981283,195.163134981283,31.6396435280445,195.163134981283,0.246698188781738
"15",199.306553405532,34.3432418597437,199.206553405532,199.406553405532,34.2432418597437,199.406553405532,0.358381228314506
"16",205.605040455239,35.1277116865649,205.505040455239,205.705040455239,35.0277116865649,205.705040455239,0.0962462492287159
"17",210.280467921659,38.460826483342,210.180467921659,210.380467921659,38.360826483342,210.380467921659,0.120241238839096
"18",215.722452964025,39.3374947731784,215.622452964025,215.822452964025,39.2374947731784,215.822452964025,0.114000947525104
"19",223.007301112593,35.8679284198372,222.907301112593,223.107301112593,35.7679284198372,223.107301112593,0.100174626128541
"20",225.638647308816,30.1854023141461,225.538647308816,225.738647308816,30.0854023141461,225.738647308816,0.0939774207770824
"21",232.406424355302,28.328588352337,232.306424355302,232.506424355302,28.228588352337,232.506424355302,0.085158694949415
"22",239.552975360004,25.9810780813157,239.452975360004,239.652975360004,25.8810780813157,239.652975360004,0.0691381191213926
"23",245.871574770029,24.8366188324699,245.771574770029,245.971574770029,24.7366188324699,245.971574770029,0.148830947362714
"24",248.571044756,23.7241735345355,248.471044756,248.671044756,23.6241735345355,248.671044756,0.515607529216342
"25",245.7579071789,26.7817714626367,245.6579071789,245.8579071789,26.6817714626367,245.8579071789,0.658062685694959
