DateTime,QualClass,Lat,Lon
2009.04.20 17:01:39,B,70.365,-131.837
2009.04.20 17:23:00,A,70.953,-131.381
2009.04.20 18:12:15,A,70.957,-131.365
2009.04.20 20:43:17,A,70.909,-131.418
2009.04.21 17:11:29,B,71.331,-131.607
2009.04.21 17:47:36,B,71.225,-132.099
2009.04.21 18:00:44,B,71.087,-131.518
2009.04.21 19:31:01,A,71.09,-131.532
2009.04.21 20:07:08,A,71.086,-131.519
2009.04.22 17:24:39,B,70.982,-131.361
2009.04.22 17:39:25,A,71.097,-131.655
2009.04.22 18:17:11,1,71.107,-131.623
2009.04.22 19:06:25,B,71.194,-131.536
2009.04.22 20:18:39,B,71.046,-131.205
2009.04.23 18:10:36,B,71.552,-131.104
2009.04.23 18:30:18,B,71.499,-132.416
2009.04.23 18:58:13,B,71.141,-131.901
2009.04.23 20:08:48,B,71.233,-131.403
2009.04.23 20:23:35,A,71.102,-131.705
2009.04.24 18:00:45,B,70.97,-131.858
2009.04.24 18:18:48,A,71.226,-131.734
2009.04.24 19:58:57,B,71.417,-132.682
2009.04.25 17:54:10,B,71.231,-131.655
2009.04.25 18:04:01,0,71.235,-131.775
2009.04.25 18:05:40,B,71.125,-131.88
2009.04.25 18:17:09,B,71.211,-131.538
2009.04.25 19:39:14,B,71.116,-130.931
2009.04.25 19:44:10,B,71.281,-131.372
2009.04.26 17:31:12,B,71.164,-131.677
2009.04.26 17:34:29,B,71.081,-131.552
2009.04.26 17:37:46,B,71.074,-131.437
2009.04.26 19:12:59,B,71.197,-131.674
2009.04.26 19:16:16,A,71.129,-131.579
2009.04.26 19:17:55,B,71.055,-131.223
2009.04.26 19:32:41,B,71.163,-131.436
2009.04.26 19:40:54,A,71.129,-131.551
2009.04.26 20:54:46,B,71.247,-131.859
2009.04.26 20:56:25,B,71.039,-130.86
2009.04.26 20:58:03,B,71.125,-131.578
2009.04.27 17:16:25,A,71.102,-131.968
2009.04.27 20:56:24,A,71.097,-131.977
2009.04.28 17:16:26,B,71.162,-132.234
2009.04.28 17:18:05,B,71.198,-132.177
2009.04.28 17:29:34,B,71.198,-132.157
2009.04.28 18:25:23,A,71.097,-132.251
2009.04.28 18:53:18,B,71.073,-132.851
2009.04.28 18:53:18,B,71.012,-132.392
